
15:38:18 | Pipe | clients  4 | logs       71,228 | watches        712 | flows        356 | payload     69.2 MiB
15:38:19 | Pipe | clients  4 | logs       71,978 | watches        719 | flows        359 | payload     69.9 MiB
15:38:20 | Pipe | clients  4 | logs       72,721 | watches        727 | flows        363 | payload     70.7 MiB
15:38:21 | Pipe | clients  4 | logs       73,473 | watches        734 | flows        367 | payload     71.4 MiB
15:38:22 | Pipe | clients  4 | logs       74,227 | watches        742 | flows        371 | payload     72.1 MiB
15:38:23 | Pipe | clients  4 | logs       74,974 | watches        749 | flows        374 | payload     72.9 MiB
15:38:24 | Pipe | clients  4 | logs       75,729 | watches        757 | flows        378 | payload     73.6 MiB
15:38:25 | Pipe | clients  4 | logs       76,473 | watches        764 | flows        382 | payload     74.3 MiB
15:38:26 | Pipe | clients  4 | logs       77,224 | watches        772 | flows        386 | payload     75.0 MiB
15:38:27 | Pipe | clients  4 | logs       77,970 | watches        779 | flows        389 | payload     75.8 MiB
15:38:28 | Pipe | clients  4 | logs       78,727 | watches        787 | flows        393 | payload     76.5 MiB
15:38:29 | Pipe | clients  4 | logs       79,477 | watches        794 | flows        397 | payload     77.2 MiB
15:38:30 | Pipe | clients  4 | logs       80,232 | watches        802 | flows        401 | payload     78.0 MiB
15:38:31 | Pipe | clients  4 | logs       80,970 | watches        809 | flows        404 | payload     78.7 MiB
15:38:32 | Pipe | clients  4 | logs       81,723 | watches        817 | flows        408 | payload     79.4 MiB
15:38:33 | Pipe | clients  4 | logs       82,472 | watches        824 | flows        412 | payload     80.1 MiB
15:38:34 | Pipe | clients  4 | logs       83,226 | watches        832 | flows        416 | payload     80.9 MiB
15:38:35 | Pipe | clients  4 | logs       83,972 | watches        839 | flows        419 | payload     81.6 MiB
15:38:36 | Pipe | clients  4 | logs       84,727 | watches        847 | flows        423 | payload     82.3 MiB
15:38:37 | Pipe | clients  4 | logs       85,471 | watches        854 | flows        427 | payload     83.1 MiB
15:38:38 | Pipe | clients  4 | logs       86,219 | watches        862 | flows        431 | payload     83.8 MiB
15:38:39 | Pipe | clients  4 | logs       86,980 | watches        869 | flows        434 | payload     84.5 MiB
15:38:40 | Pipe | clients  4 | logs       87,722 | watches        877 | flows        438 | payload     85.2 MiB
15:38:41 | Pipe | clients  4 | logs       88,470 | watches        884 | flows        442 | payload     86.0 MiB
15:38:42 | Pipe | clients  4 | logs       89,226 | watches        892 | flows        446 | payload     86.7 MiB
15:38:43 | Pipe | clients  4 | logs       89,973 | watches        899 | flows        449 | payload     87.4 MiB
15:38:44 | Pipe | clients  4 | logs       90,724 | watches        907 | flows        453 | payload     88.2 MiB
15:38:45 | Pipe | clients  4 | logs       91,477 | watches        914 | flows        457 | payload     88.9 MiB
15:38:46 | Pipe | clients  4 | logs       92,225 | watches        922 | flows        461 | payload     89.6 MiB
15:38:47 | Pipe | clients  4 | logs       92,982 | watches        929 | flows        464 | payload     90.4 MiB
15:38:48 | Pipe | clients  4 | logs       93,720 | watches        937 | flows        468 | payload     91.1 MiB
15:38:49 | Pipe | clients  4 | logs       94,480 | watches        944 | flows        472 | payload     91.8 MiB
15:38:50 | Pipe | clients  4 | logs       95,227 | watches        952 | flows        476 | payload     92.5 MiB
15:38:51 | Pipe | clients  4 | logs       95,972 | watches        959 | flows        479 | payload     93.3 MiB
15:38:52 | Pipe | clients  4 | logs       96,729 | watches        967 | flows        483 | payload     94.0 MiB
15:38:53 | Pipe | clients  4 | logs       97,485 | watches        974 | flows        487 | payload     94.7 MiB
