
13:37:41 | Tcp  | clients  8 | logs      686,472 | watches      6,863 | flows      3,431 | payload    667.1 MiB
13:37:42 | Tcp  | clients  8 | logs      689,875 | watches      6,896 | flows      3,448 | payload    670.4 MiB
13:37:43 | Tcp  | clients  8 | logs      693,789 | watches      6,936 | flows      3,464 | payload    674.2 MiB
13:37:44 | Tcp  | clients  8 | logs      698,144 | watches      6,976 | flows      3,488 | payload    678.5 MiB
13:37:45 | Tcp  | clients  8 | logs      698,182 | watches      6,976 | flows      3,488 | payload    678.5 MiB
13:37:46 | Tcp  | clients  8 | logs      701,923 | watches      7,016 | flows      3,504 | payload    682.1 MiB
13:37:47 | Tcp  | clients  8 | logs      706,168 | watches      7,056 | flows      3,528 | payload    686.2 MiB
13:37:48 | Tcp  | clients  8 | logs      712,805 | watches      7,124 | flows      3,560 | payload    692.7 MiB
13:37:49 | Tcp  | clients  8 | logs      719,298 | watches      7,192 | flows      3,592 | payload    699.0 MiB
13:37:50 | Tcp  | clients  8 | logs      726,475 | watches      7,262 | flows      3,630 | payload    706.0 MiB
13:37:51 | Tcp  | clients  8 | logs      735,923 | watches      7,353 | flows      3,673 | payload    715.2 MiB
13:37:52 | Tcp  | clients  8 | logs      746,836 | watches      7,464 | flows      3,728 | payload    725.8 MiB
13:37:53 | Tcp  | clients  8 | logs      755,260 | watches      7,549 | flows      3,773 | payload    734.0 MiB
13:37:54 | Tcp  | clients  8 | logs      757,861 | watches      7,576 | flows      3,784 | payload    736.5 MiB
13:37:55 | Tcp  | clients  8 | logs      763,272 | watches      7,629 | flows      3,813 | payload    741.7 MiB
13:37:56 | Tcp  | clients  8 | logs      767,486 | watches      7,672 | flows      3,832 | payload    745.8 MiB
13:37:57 | Tcp  | clients  8 | logs      773,302 | watches      7,728 | flows      3,864 | payload    751.5 MiB
13:37:58 | Tcp  | clients  8 | logs      777,086 | watches      7,768 | flows      3,880 | payload    755.2 MiB
13:37:59 | Tcp  | clients  8 | logs      782,451 | watches      7,822 | flows      3,910 | payload    760.4 MiB
13:38:00 | Tcp  | clients  8 | logs      791,907 | watches      7,913 | flows      3,953 | payload    769.6 MiB
13:38:01 | Tcp  | clients  8 | logs      805,344 | watches      8,048 | flows      4,024 | payload    782.6 MiB
13:38:02 | Tcp  | clients  8 | logs      813,617 | watches      8,132 | flows      4,064 | payload    790.7 MiB
13:38:03 | Tcp  | clients  8 | logs      821,586 | watches      8,212 | flows      4,104 | payload    798.4 MiB
13:38:04 | Tcp  | clients  8 | logs      829,483 | watches      8,289 | flows      4,144 | payload    806.1 MiB
13:38:05 | Tcp  | clients  8 | logs      837,488 | watches      8,369 | flows      4,184 | payload    813.9 MiB
