2026-04-25T21:38:02.891Z | transport=websocket | sessions=4 | logs=157132 | watches=1568 | flows=784 | state=connected | errors=0
2026-04-25T21:38:03.899Z | transport=websocket | sessions=4 | logs=159148 | watches=1588 | flows=792 | state=connected | errors=0
2026-04-25T21:38:04.909Z | transport=websocket | sessions=4 | logs=161167 | watches=1608 | flows=804 | state=connected | errors=0
2026-04-25T21:38:05.911Z | transport=websocket | sessions=4 | logs=163172 | watches=1628 | flows=812 | state=connected | errors=0
2026-04-25T21:38:06.924Z | transport=websocket | sessions=4 | logs=165196 | watches=1648 | flows=824 | state=connected | errors=0
2026-04-25T21:38:07.929Z | transport=websocket | sessions=4 | logs=167208 | watches=1672 | flows=836 | state=connected | errors=0
2026-04-25T21:38:08.932Z | transport=websocket | sessions=4 | logs=169212 | watches=1692 | flows=844 | state=connected | errors=0
2026-04-25T21:38:09.935Z | transport=websocket | sessions=4 | logs=171220 | watches=1712 | flows=856 | state=connected | errors=0
2026-04-25T21:38:10.949Z | transport=websocket | sessions=4 | logs=173248 | watches=1732 | flows=864 | state=connected | errors=0
2026-04-25T21:38:11.951Z | transport=websocket | sessions=4 | logs=175252 | watches=1752 | flows=876 | state=connected | errors=0
2026-04-25T21:38:12.960Z | transport=websocket | sessions=4 | logs=177268 | watches=1772 | flows=884 | state=connected | errors=0
2026-04-25T21:38:13.966Z | transport=websocket | sessions=4 | logs=179280 | watches=1792 | flows=896 | state=connected | errors=0
2026-04-25T21:38:14.971Z | transport=websocket | sessions=4 | logs=181291 | watches=1812 | flows=904 | state=connected | errors=0
2026-04-25T21:38:15.975Z | transport=websocket | sessions=4 | logs=183299 | watches=1832 | flows=916 | state=connected | errors=0
2026-04-25T21:38:16.980Z | transport=websocket | sessions=4 | logs=185308 | watches=1852 | flows=924 | state=connected | errors=0
2026-04-25T21:38:17.982Z | transport=websocket | sessions=4 | logs=187312 | watches=1872 | flows=936 | state=connected | errors=0
2026-04-25T21:38:18.987Z | transport=websocket | sessions=4 | logs=189324 | watches=1892 | flows=944 | state=connected | errors=0
2026-04-25T21:38:19.994Z | transport=websocket | sessions=4 | logs=191336 | watches=1912 | flows=956 | state=connected | errors=0
2026-04-25T21:38:21.003Z | transport=websocket | sessions=4 | logs=193356 | watches=1932 | flows=964 | state=connected | errors=0
2026-04-25T21:38:22.009Z | transport=websocket | sessions=4 | logs=195368 | watches=1952 | flows=976 | state=connected | errors=0
2026-04-25T21:38:23.011Z | transport=websocket | sessions=4 | logs=197372 | watches=1972 | flows=984 | state=connected | errors=0
2026-04-25T21:38:24.023Z | transport=websocket | sessions=4 | logs=199396 | watches=1992 | flows=996 | state=connected | errors=0
2026-04-25T21:38:25.030Z | transport=websocket | sessions=4 | logs=201408 | watches=2012 | flows=1004 | state=connected | errors=0
2026-04-25T21:38:26.045Z | transport=websocket | sessions=4 | logs=203412 | watches=2032 | flows=1016 | state=connected | errors=0
2026-04-25T21:38:27.059Z | transport=websocket | sessions=4 | logs=205436 | watches=2052 | flows=1024 | state=connected | errors=0
2026-04-25T21:38:28.065Z | transport=websocket | sessions=4 | logs=207480 | watches=2072 | flows=1036 | state=connected | errors=0
2026-04-25T21:38:29.067Z | transport=websocket | sessions=4 | logs=209484 | watches=2092 | flows=1044 | state=connected | errors=0
2026-04-25T21:38:30.078Z | transport=websocket | sessions=4 | logs=211504 | watches=2112 | flows=1056 | state=connected | errors=0
2026-04-25T21:38:31.087Z | transport=websocket | sessions=4 | logs=213524 | watches=2132 | flows=1064 | state=connected | errors=0
2026-04-25T21:38:32.091Z | transport=websocket | sessions=4 | logs=215531 | watches=2152 | flows=1076 | state=connected | errors=0
2026-04-25T21:38:33.097Z | transport=websocket | sessions=4 | logs=217544 | watches=2172 | flows=1084 | state=connected | errors=0
2026-04-25T21:38:34.102Z | transport=websocket | sessions=4 | logs=219552 | watches=2192 | flows=1096 | state=connected | errors=0
2026-04-25T21:38:35.111Z | transport=websocket | sessions=4 | logs=221572 | watches=2212 | flows=1104 | state=connected | errors=0
2026-04-25T21:38:36.125Z | transport=websocket | sessions=4 | logs=223572 | watches=2232 | flows=1116 | state=connected | errors=0
2026-04-25T21:38:37.129Z | transport=websocket | sessions=4 | logs=225606 | watches=2256 | flows=1128 | state=connected | errors=0
2026-04-25T21:38:38.137Z | transport=websocket | sessions=4 | logs=227624 | watches=2276 | flows=1136 | state=connected | errors=0
2026-04-25T21:38:39.139Z | transport=websocket | sessions=4 | logs=229628 | watches=2296 | flows=1148 | state=connected | errors=0
2026-04-25T21:38:40.145Z | transport=websocket | sessions=4 | logs=231638 | watches=2316 | flows=1156 | state=connected | errors=0
2026-04-25T21:38:41.150Z | transport=websocket | sessions=4 | logs=233648 | watches=2336 | flows=1168 | state=connected | errors=0
2026-04-25T21:38:42.158Z | transport=websocket | sessions=4 | logs=235664 | watches=2356 | flows=1176 | state=connected | errors=0
2026-04-25T21:38:43.163Z | transport=websocket | sessions=4 | logs=237676 | watches=2376 | flows=1188 | state=connected | errors=0
2026-04-25T21:38:44.168Z | transport=websocket | sessions=4 | logs=239684 | watches=2396 | flows=1196 | state=connected | errors=0
2026-04-25T21:38:45.171Z | transport=websocket | sessions=4 | logs=241692 | watches=2416 | flows=1208 | state=connected | errors=0
2026-04-25T21:38:46.173Z | transport=websocket | sessions=4 | logs=243696 | watches=2436 | flows=1216 | state=connected | errors=0
2026-04-25T21:38:47.184Z | transport=websocket | sessions=4 | logs=245716 | watches=2456 | flows=1228 | state=connected | errors=0
2026-04-25T21:38:48.193Z | transport=websocket | sessions=4 | logs=247736 | watches=2476 | flows=1236 | state=connected | errors=0
2026-04-25T21:38:49.208Z | transport=websocket | sessions=4 | logs=249732 | watches=2496 | flows=1248 | state=connected | errors=0
2026-04-25T21:38:50.217Z | transport=websocket | sessions=4 | logs=251783 | watches=2516 | flows=1256 | state=connected | errors=0
2026-04-25T21:38:51.225Z | transport=websocket | sessions=4 | logs=253798 | watches=2536 | flows=1268 | state=connected | errors=0
2026-04-25T21:38:52.233Z | transport=websocket | sessions=4 | logs=255816 | watches=2556 | flows=1276 | state=connected | errors=0
2026-04-25T21:38:53.240Z | transport=websocket | sessions=4 | logs=257828 | watches=2576 | flows=1288 | state=connected | errors=0
2026-04-25T21:38:54.249Z | transport=websocket | sessions=4 | logs=259845 | watches=2596 | flows=1296 | state=connected | errors=0
2026-04-25T21:38:55.260Z | transport=websocket | sessions=4 | logs=261868 | watches=2616 | flows=1308 | state=connected | errors=0
2026-04-25T21:38:56.260Z | transport=websocket | sessions=4 | logs=263868 | watches=2636 | flows=1316 | state=connected | errors=0
2026-04-25T21:38:57.268Z | transport=websocket | sessions=4 | logs=265884 | watches=2656 | flows=1328 | state=connected | errors=0
2026-04-25T21:38:58.269Z | transport=websocket | sessions=4 | logs=267888 | watches=2676 | flows=1336 | state=connected | errors=0
2026-04-25T21:38:59.271Z | transport=websocket | sessions=4 | logs=269891 | watches=2696 | flows=1348 | state=connected | errors=0
2026-04-25T21:39:00.271Z | transport=websocket | sessions=4 | logs=271892 | watches=2716 | flows=1356 | state=connected | errors=0
2026-04-25T21:39:01.276Z | transport=websocket | sessions=4 | logs=273900 | watches=2736 | flows=1368 | state=connected | errors=0
2026-04-25T21:39:02.284Z | transport=websocket | sessions=4 | logs=275916 | watches=2756 | flows=1376 | state=connected | errors=0
2026-04-25T21:39:03.288Z | transport=websocket | sessions=4 | logs=277924 | watches=2776 | flows=1388 | state=connected | errors=0
2026-04-25T21:39:04.292Z | transport=websocket | sessions=4 | logs=279932 | watches=2796 | flows=1396 | state=connected | errors=0
2026-04-25T21:39:05.296Z | transport=websocket | sessions=4 | logs=281940 | watches=2816 | flows=1408 | state=connected | errors=0
2026-04-25T21:39:06.304Z | transport=websocket | sessions=4 | logs=283956 | watches=2836 | flows=1416 | state=connected | errors=0
2026-04-25T21:39:07.312Z | transport=websocket | sessions=4 | logs=285972 | watches=2856 | flows=1428 | state=connected | errors=0
2026-04-25T21:39:08.321Z | transport=websocket | sessions=4 | logs=287991 | watches=2876 | flows=1436 | state=connected | errors=0
2026-04-25T21:39:09.334Z | transport=websocket | sessions=4 | logs=290016 | watches=2900 | flows=1448 | state=connected | errors=0
2026-04-25T21:39:10.335Z | transport=websocket | sessions=4 | logs=292017 | watches=2920 | flows=1460 | state=connected | errors=0
2026-04-25T21:39:11.337Z | transport=websocket | sessions=4 | logs=294024 | watches=2940 | flows=1468 | state=connected | errors=0
2026-04-25T21:39:12.343Z | transport=websocket | sessions=4 | logs=296036 | watches=2960 | flows=1480 | state=connected | errors=0
2026-04-25T21:39:13.346Z | transport=websocket | sessions=4 | logs=298040 | watches=2980 | flows=1488 | state=connected | errors=0
2026-04-25T21:39:14.356Z | transport=websocket | sessions=4 | logs=300060 | watches=3000 | flows=1500 | state=connected | errors=0
2026-04-25T21:39:15.364Z | transport=websocket | sessions=4 | logs=302076 | watches=3020 | flows=1508 | state=connected | errors=0
2026-04-25T21:39:16.364Z | transport=websocket | sessions=4 | logs=304076 | watches=3040 | flows=1520 | state=connected | errors=0
2026-04-25T21:39:17.374Z | transport=websocket | sessions=4 | logs=306096 | watches=3060 | flows=1528 | state=connected | errors=0
2026-04-25T21:39:18.383Z | transport=websocket | sessions=4 | logs=308114 | watches=3080 | flows=1540 | state=connected | errors=0
2026-04-25T21:39:19.391Z | transport=websocket | sessions=4 | logs=310132 | watches=3100 | flows=1548 | state=connected | errors=0
2026-04-25T21:39:20.392Z | transport=websocket | sessions=4 | logs=312132 | watches=3120 | flows=1560 | state=connected | errors=0
2026-04-25T21:39:21.397Z | transport=websocket | sessions=4 | logs=314144 | watches=3140 | flows=1568 | state=connected | errors=0
2026-04-25T21:39:22.412Z | transport=websocket | sessions=4 | logs=316144 | watches=3160 | flows=1580 | state=connected | errors=0
2026-04-25T21:39:23.421Z | transport=websocket | sessions=4 | logs=318192 | watches=3180 | flows=1588 | state=connected | errors=0
2026-04-25T21:39:24.433Z | transport=websocket | sessions=4 | logs=320213 | watches=3200 | flows=1600 | state=connected | errors=0
2026-04-25T21:39:25.438Z | transport=websocket | sessions=4 | logs=322224 | watches=3220 | flows=1608 | state=connected | errors=0
2026-04-25T21:39:26.444Z | transport=websocket | sessions=4 | logs=324236 | watches=3240 | flows=1620 | state=connected | errors=0
2026-04-25T21:39:27.459Z | transport=websocket | sessions=4 | logs=326267 | watches=3260 | flows=1628 | state=connected | errors=0
2026-04-25T21:39:28.464Z | transport=websocket | sessions=4 | logs=328276 | watches=3280 | flows=1640 | state=connected | errors=0
2026-04-25T21:39:29.469Z | transport=websocket | sessions=4 | logs=330288 | watches=3300 | flows=1648 | state=connected | errors=0
2026-04-25T21:39:30.483Z | transport=websocket | sessions=4 | logs=332284 | watches=3320 | flows=1660 | state=connected | errors=0
2026-04-25T21:39:31.491Z | transport=websocket | sessions=4 | logs=334330 | watches=3340 | flows=1668 | state=connected | errors=0
2026-04-25T21:39:32.496Z | transport=websocket | sessions=4 | logs=336340 | watches=3360 | flows=1680 | state=connected | errors=0
